Customer_ID,churn,months,totcalls,totmou,totrev,adjrev,adjmou,adjqty,phones,marital,income,creditcd
1000001,1,61,1652,4228,1504.62,1453.44,4085,1602,2,S,4,Y
1000002,0,56,14654,26400,2851.68,2833.88,26367,14624,7,S,5,Y
1000003,1,58,7903,24385.05333,2155.91,1934.47,24303.05,7888,2,M,5,Y
1000004,0,60,1502,3065,2000.9,1941.81,3035,1479,1,M,6,Y
1000005,0,57,4485,14028,2181.12,2166.48,13965,4452,6,S,6,Y
1000006,0,59,26812,40869,4033.98,3932.9,40295,26362,9,S,6,Y
1000007,1,53,6279,17390.03333,3091.7,3065.24,17371.03,6271,4,M,9,Y
1000008,0,53,4491,12492,1427.71,1423.06,12439,4470,3,M,1,Y
1000009,0,55,16730,43231.05333,4404.44,4313.71,42943.05,16579,3,M,4,N
1000010,0,57,391,994,1458.42,1457.84,976,377,2,M,9,Y
1000011,0,59,2392,6868.11,3290.73,3195.01,6620.11,2312,3,S,6,Y
1000012,0,53,3207,5579.136667,3104.16,2796.06,5358.14,3087,4,A,9,Y
1000013,0,55,31584,51857.07,4270.87,4181.91,51553.07,31397,9,S,5,Y
1000014,0,53,400,642,1370.94,1323.62,613,385,2,U,7,N
1000015,0,59,33184,69161.08333,6616.72,6572.7,69104.08,33139,10,S,3,Y
1000016,0,55,7586,15226.03,2311.08,2303.38,15180.03,7560,5,U,1,Y
1000017,0,57,4078,11330,1739.43,1722.98,11316,4067,3,U,3,Y
1000018,0,59,7043,12661,2036.85,2013.28,12657,7041,6,S,4,Y
1000019,0,52,8468,23835,1935.97,1914.23,23524,8378,4,B,3,Y
1000020,0,56,1319,4531.016667,1348.33,1276,4504.02,1306,4,S,1,N
1000021,1,58,28477,79406.01667,6751.7,6472.05,78927.02,28359,4,U,6,Y
1000022,1,54,79038,117808.04,6005.39,5935.58,117230.04,78664,13,A,5,Y
1000024,1,54,5145,10451.09667,1122.8,1089.25,10356.1,5084,4,M,5,Y
